name,exact_english_wikipedia_article_title,category,region,era
Mikhail Gorbachev,Mikhail Gorbachev,statesman,Europe and North Asia,20th–21st centuries
Boris Yeltsin,Boris Yeltsin,statesman,Europe and North Asia,20th–21st centuries
Mao Zedong,Mao Zedong,statesman and revolutionary,East Asia,20th century
Chiang Kai-shek,Chiang Kai-shek,statesman and commander,East Asia,20th century
Deng Xiaoping,Deng Xiaoping,statesman,East Asia,20th century
Hirohito,Hirohito,ruler,East Asia,20th century
Hideki Tojo,Hideki Tojo,statesman and commander,East Asia,20th century
Ho Chi Minh,Ho Chi Minh,statesman and revolutionary,Southeast Asia,20th century
Pol Pot,Pol Pot,dictator,Southeast Asia,20th century
Sukarno,Sukarno,statesman,Southeast Asia,20th century
Suharto,Suharto,statesman and military leader,Southeast Asia,20th century
Ferdinand Marcos,Ferdinand Marcos,statesman,Southeast Asia,20th century
Corazon Aquino,Corazon Aquino,statesperson,Southeast Asia,20th century
Mahatma Gandhi,Mahatma Gandhi,independence leader,South Asia,19th–20th centuries
Jawaharlal Nehru,Jawaharlal Nehru,statesman,South Asia,20th century
Indira Gandhi,Indira Gandhi,statesperson,South Asia,20th century
Muhammad Ali Jinnah,Muhammad Ali Jinnah,statesman,South Asia,19th–20th centuries
Bhagat Singh,Bhagat Singh,revolutionary,South Asia,20th century
Subhas Chandra Bose,Subhas Chandra Bose,independence leader,South Asia,20th century
Mustafa Kemal Atatürk,Mustafa Kemal Atatürk,statesman and commander,Middle East and North Africa,20th century
Mohammad Reza Pahlavi,Mohammad Reza Pahlavi,ruler,Middle East and North Africa,20th century
Ruhollah Khomeini,Ruhollah Khomeini,religious and political leader,Middle East and North Africa,20th century
Gamal Abdel Nasser,Gamal Abdel Nasser,statesman,Middle East and North Africa,20th century
Anwar Sadat,Anwar Sadat,statesman,Middle East and North Africa,20th century
David Ben-Gurion,David Ben-Gurion,statesman,Middle East and North Africa,20th century
Golda Meir,Golda Meir,statesperson,Middle East and North Africa,20th century
Yitzhak Rabin,Yitzhak Rabin,statesman,Middle East and North Africa,20th century
Yasser Arafat,Yasser Arafat,political leader,Middle East and North Africa,20th–21st centuries
Saddam Hussein,Saddam Hussein,dictator,Middle East and North Africa,20th–21st centuries
Muammar Gaddafi,Muammar Gaddafi,dictator,Middle East and North Africa,20th–21st centuries
Nelson Mandela,Nelson Mandela,statesman and activist,Sub-Saharan Africa,20th–21st centuries
Desmond Tutu,Desmond Tutu,religious leader and activist,Sub-Saharan Africa,20th–21st centuries
Haile Selassie,Haile Selassie,ruler,Sub-Saharan Africa,20th century
Kwame Nkrumah,Kwame Nkrumah,statesman,Sub-Saharan Africa,20th century
Patrice Lumumba,Patrice Lumumba,statesman,Sub-Saharan Africa,20th century
Idi Amin,Idi Amin,dictator,Sub-Saharan Africa,20th century
Robert Mugabe,Robert Mugabe,statesman,Sub-Saharan Africa,20th–21st centuries
Fidel Castro,Fidel Castro,statesman and revolutionary,Latin America and Caribbean,20th–21st centuries
Che Guevara,Che Guevara,revolutionary,Latin America and Caribbean,20th century
Salvador Allende,Salvador Allende,statesman,Latin America and Caribbean,20th century
Augusto Pinochet,Augusto Pinochet,dictator,Latin America and Caribbean,20th century
Eva Perón,Eva Perón,political figure,Latin America and Caribbean,20th century
Juan Perón,Juan Perón,statesman,Latin America and Caribbean,20th century
Hugo Chávez,Hugo Chávez,statesman,Latin America and Caribbean,20th–21st centuries
John Paul II,Pope John Paul II,religious leader,Europe,20th–21st centuries
Mother Teresa,Mother Teresa,religious figure and humanitarian,South Asia and Europe,20th century
Martin Luther,Martin Luther,religious reformer,Europe,Early modern
Joseph Smith,Joseph Smith,religious leader,North America,19th century
L. Ron Hubbard,L. Ron Hubbard,religious founder and writer,North America,20th century
Karl Marx,Karl Marx,philosopher and political theorist,Europe,19th century
Friedrich Nietzsche,Friedrich Nietzsche,philosopher,Europe,19th century
Sigmund Freud,Sigmund Freud,psychologist,Europe,19th–20th centuries
Carl Jung,Carl Jung,psychologist,Europe,19th–20th centuries
Jean-Paul Sartre,Jean-Paul Sartre,philosopher and writer,Europe,20th century
Simone de Beauvoir,Simone de Beauvoir,philosopher and writer,Europe,20th century
Bertrand Russell,Bertrand Russell,philosopher,Europe,19th–20th centuries
Hannah Arendt,Hannah Arendt,philosopher and political theorist,Europe and North America,20th century
Voltaire,Voltaire,philosopher and writer,Europe,18th century
Niccolò Machiavelli,Niccolò Machiavelli,political theorist and writer,Europe,Renaissance
Adam Smith,Adam Smith,economist and philosopher,Europe,18th century
William Shakespeare,William Shakespeare,writer,Europe,Early modern
Dante Alighieri,Dante Alighieri,writer,Europe,Medieval
Miguel de Cervantes,Miguel de Cervantes,writer,Europe,Early modern
Johann Wolfgang von Goethe,Johann Wolfgang von Goethe,writer,Europe,18th–19th centuries
Jane Austen,Jane Austen,writer,Europe,18th–19th centuries
Mary Shelley,Mary Shelley,writer,Europe,19th century
Charles Dickens,Charles Dickens,writer,Europe,19th century
Leo Tolstoy,Leo Tolstoy,writer,Europe,19th–20th centuries
Fyodor Dostoevsky,Fyodor Dostoevsky,writer,Europe,19th century
Victor Hugo,Victor Hugo,writer,Europe,19th century
Alexandre Dumas,Alexandre Dumas,writer,Europe,19th century
Oscar Wilde,Oscar Wilde,writer,Europe,19th century
Mark Twain,Mark Twain,writer,North America,19th–20th centuries
Edgar Allan Poe,Edgar Allan Poe,writer,North America,19th century
Walt Whitman,Walt Whitman,writer,North America,19th century
Emily Dickinson,Emily Dickinson,writer,North America,19th century
Lewis Carroll,Lewis Carroll,writer and photographer,Europe,19th century
Jules Verne,Jules Verne,writer,Europe,19th century
H. G. Wells,H. G. Wells,writer,Europe,19th–20th centuries
Bram Stoker,Bram Stoker,writer,Europe,19th–20th centuries
Rudyard Kipling,Rudyard Kipling,writer,Europe and South Asia,19th–20th centuries
Franz Kafka,Franz Kafka,writer,Europe,20th century
Marcel Proust,Marcel Proust,writer,Europe,19th–20th centuries
James Joyce,James Joyce,writer,Europe,20th century
Virginia Woolf,Virginia Woolf,writer,Europe,20th century
George Orwell,George Orwell,writer,Europe,20th century
J. R. R. Tolkien,J. R. R. Tolkien,writer and scholar,Europe,20th century
C. S. Lewis,C. S. Lewis,writer and scholar,Europe,20th century
Agatha Christie,Agatha Christie,writer,Europe,20th century
Ernest Hemingway,Ernest Hemingway,writer,North America,20th century
F. Scott Fitzgerald,F. Scott Fitzgerald,writer,North America,20th century
Albert Camus,Albert Camus,writer and philosopher,Europe and North Africa,20th century
Anne Frank,Anne Frank,diarist,Europe,20th century
Sylvia Plath,Sylvia Plath,writer,North America and Europe,20th century
Rabindranath Tagore,Rabindranath Tagore,writer and artist,South Asia,19th–20th centuries
Pablo Neruda,Pablo Neruda,writer,Latin America and Caribbean,20th century
Jorge Luis Borges,Jorge Luis Borges,writer,Latin America and Caribbean,20th century
Gabriel García Márquez,Gabriel García Márquez,writer,Latin America and Caribbean,20th–21st centuries
Dr. Seuss,Dr. Seuss,writer and illustrator,North America,20th century
Roald Dahl,Roald Dahl,writer,Europe,20th century
Isaac Newton,Isaac Newton,scientist,Europe,Early modern
Galileo Galilei,Galileo Galilei,scientist,Europe,Early modern
Nicolaus Copernicus,Nicolaus Copernicus,scientist,Europe,Renaissance
Charles Darwin,Charles Darwin,scientist,Europe,19th century
Albert Einstein,Albert Einstein,scientist,Europe and North America,20th century
Marie Curie,Marie Curie,scientist,Europe,19th–20th centuries
Nikola Tesla,Nikola Tesla,inventor and engineer,Europe and North America,19th–20th centuries
Thomas Edison,Thomas Edison,inventor,North America,19th–20th centuries
Stephen Hawking,Stephen Hawking,scientist,Europe,20th–21st centuries
Alan Turing,Alan Turing,mathematician and computer scientist,Europe,20th century
J. Robert Oppenheimer,J. Robert Oppenheimer,scientist,North America,20th century
Richard Feynman,Richard Feynman,scientist,North America,20th century
Niels Bohr,Niels Bohr,scientist,Europe,20th century
Erwin Schrödinger,Erwin Schrödinger,scientist,Europe,20th century
Louis Pasteur,Louis Pasteur,scientist,Europe,19th century
Alexander Fleming,Alexander Fleming,scientist,Europe,20th century
Rosalind Franklin,Rosalind Franklin,scientist,Europe,20th century
Gregor Mendel,Gregor Mendel,scientist,Europe,19th century
Ivan Pavlov,Ivan Pavlov,scientist,Europe and North Asia,19th–20th centuries
Ada Lovelace,Ada Lovelace,mathematician,Europe,19th century
Charles Babbage,Charles Babbage,inventor and mathematician,Europe,19th century
Grace Hopper,Grace Hopper,computer scientist,North America,20th century
Dmitri Mendeleev,Dmitri Mendeleev,scientist,Europe and North Asia,19th century
Alexander Graham Bell,Alexander Graham Bell,inventor,Europe and North America,19th–20th centuries
Guglielmo Marconi,Guglielmo Marconi,inventor,Europe,19th–20th centuries
Orville Wright,Wright brothers,inventor and aviator,North America,19th–20th centuries
Wilbur Wright,Wright brothers,inventor and aviator,North America,19th–20th centuries
Henry Ford,Henry Ford,industrialist,North America,19th–20th centuries
Michael Faraday,Michael Faraday,scientist,Europe,19th century
Steve Jobs,Steve Jobs,technology entrepreneur,North America,20th–21st centuries
Hedy Lamarr,Hedy Lamarr,actor and inventor,Europe and North America,20th century
Ernest Shackleton,Ernest Shackleton,explorer,Europe and Antarctica,19th–20th centuries
Roald Amundsen,Roald Amundsen,explorer,Europe and polar regions,19th–20th centuries
Amelia Earhart,Amelia Earhart,aviator,North America,20th century
Yuri Gagarin,Yuri Gagarin,astronaut,Europe and North Asia,20th century
Neil Armstrong,Neil Armstrong,astronaut,North America,20th–21st centuries
Sally Ride,Sally Ride,astronaut,North America,20th–21st centuries
Jacques Cousteau,Jacques Cousteau,explorer and filmmaker,Europe,20th century
Edmund Hillary,Edmund Hillary,explorer,Oceania and South Asia,20th–21st centuries
Tenzing Norgay,Tenzing Norgay,mountaineer,South Asia,20th century
Leonardo da Vinci,Leonardo da Vinci,artist and inventor,Europe,Renaissance
Michelangelo,Michelangelo,artist,Europe,Renaissance
Raphael,Raphael,artist,Europe,Renaissance
Rembrandt,Rembrandt,artist,Europe,17th century
Francisco Goya,Francisco Goya,artist,Europe,18th–19th centuries
Claude Monet,Claude Monet,artist,Europe,19th–20th centuries
Vincent van Gogh,Vincent van Gogh,artist,Europe,19th century
Henri Matisse,Henri Matisse,artist,Europe,19th–20th centuries
Pablo Picasso,Pablo Picasso,artist,Europe,20th century
Salvador Dalí,Salvador Dalí,artist,Europe,20th century
Frida Kahlo,Frida Kahlo,artist,Latin America and Caribbean,20th century
Diego Rivera,Diego Rivera,artist,Latin America and Caribbean,20th century
Georgia O'Keeffe,Georgia O'Keeffe,artist,North America,20th century
Andy Warhol,Andy Warhol,artist,North America,20th century
Jackson Pollock,Jackson Pollock,artist,North America,20th century
Antoni Gaudí,Antoni Gaudí,architect,Europe,19th–20th centuries
Frank Lloyd Wright,Frank Lloyd Wright,architect,North America,19th–20th centuries
Le Corbusier,Le Corbusier,architect,Europe,20th century
Oscar Niemeyer,Oscar Niemeyer,architect,Latin America and Caribbean,20th–21st centuries
Zaha Hadid,Zaha Hadid,architect,Middle East and Europe,20th–21st centuries
Ansel Adams,Ansel Adams,photographer,North America,20th century
Coco Chanel,Coco Chanel,fashion designer,Europe,20th century
Johann Sebastian Bach,Johann Sebastian Bach,composer,Europe,17th–18th centuries
Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,composer,Europe,18th century
Ludwig van Beethoven,Ludwig van Beethoven,composer,Europe,18th–19th centuries
Frédéric Chopin,Frédéric Chopin,composer,Europe,19th century
Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky,composer,Europe and North Asia,19th century
Antonio Vivaldi,Antonio Vivaldi,composer,Europe,17th–18th centuries
George Frideric Handel,George Frideric Handel,composer,Europe,17th–18th centuries
Richard Wagner,Richard Wagner,composer,Europe,19th century
Johannes Brahms,Johannes Brahms,composer,Europe,19th century
Franz Liszt,Franz Liszt,composer,Europe,19th century
Giuseppe Verdi,Giuseppe Verdi,composer,Europe,19th century
Igor Stravinsky,Igor Stravinsky,composer,Europe and North America,20th century
Leonard Bernstein,Leonard Bernstein,composer and conductor,North America,20th century
Maria Callas,Maria Callas,singer,Europe and North America,20th century
Luciano Pavarotti,Luciano Pavarotti,singer,Europe,20th–21st centuries
Louis Armstrong,Louis Armstrong,musician,North America,20th century
Billie Holiday,Billie Holiday,singer,North America,20th century
Ella Fitzgerald,Ella Fitzgerald,singer,North America,20th century
Frank Sinatra,Frank Sinatra,singer and actor,North America,20th century
Elvis Presley,Elvis Presley,singer and actor,North America,20th century
Chuck Berry,Chuck Berry,musician,North America,20th–21st centuries
Johnny Cash,Johnny Cash,musician,North America,20th century
Jimi Hendrix,Jimi Hendrix,musician,North America,20th century
Janis Joplin,Janis Joplin,singer,North America,20th century
Jim Morrison,Jim Morrison,singer,North America,20th century
Bob Marley,Bob Marley,musician,Latin America and Caribbean,20th century
John Lennon,John Lennon,musician,Europe and North America,20th century
George Harrison,George Harrison,musician,Europe,20th–21st centuries
Freddie Mercury,Freddie Mercury,singer,Europe,20th century
David Bowie,David Bowie,musician and actor,Europe,20th–21st centuries
Prince,Prince (musician),musician,North America,20th–21st centuries
Michael Jackson,Michael Jackson,musician,North America,20th–21st centuries
Whitney Houston,Whitney Houston,singer and actor,North America,20th–21st centuries
Aretha Franklin,Aretha Franklin,singer,North America,20th–21st centuries
Tina Turner,Tina Turner,singer,North America and Europe,20th–21st centuries
Ray Charles,Ray Charles,musician,North America,20th–21st centuries
Marvin Gaye,Marvin Gaye,singer,North America,20th century
Kurt Cobain,Kurt Cobain,musician,North America,20th century
Tupac Shakur,Tupac Shakur,musician and actor,North America,20th century
The Notorious B.I.G.,The Notorious B.I.G.,musician,North America,20th century
Amy Winehouse,Amy Winehouse,singer,Europe,20th–21st centuries
Selena,Selena,singer,North America and Latin America,20th century
Édith Piaf,Édith Piaf,singer,Europe,20th century
Josephine Baker,Josephine Baker,performer and activist,North America and Europe,20th century
Miriam Makeba,Miriam Makeba,singer and activist,Sub-Saharan Africa,20th–21st centuries
Fela Kuti,Fela Kuti,musician and activist,Sub-Saharan Africa,20th century
Umm Kulthum,Umm Kulthum,singer,Middle East and North Africa,20th century
Ravi Shankar,Ravi Shankar,musician,South Asia,20th–21st centuries
Lata Mangeshkar,Lata Mangeshkar,singer,South Asia,20th–21st centuries
Teresa Teng,Teresa Teng,singer,East Asia,20th century
Charlie Chaplin,Charlie Chaplin,actor and filmmaker,Europe and North America,20th century
Marilyn Monroe,Marilyn Monroe,actor,North America,20th century
Audrey Hepburn,Audrey Hepburn,actor and humanitarian,Europe and North America,20th century
James Dean,James Dean,actor,North America,20th century
Humphrey Bogart,Humphrey Bogart,actor,North America,20th century
Cary Grant,Cary Grant,actor,Europe and North America,20th century
Marlon Brando,Marlon Brando,actor,North America,20th–21st centuries
Elizabeth Taylor,Elizabeth Taylor,actor,Europe and North America,20th–21st centuries
Katharine Hepburn,Katharine Hepburn,actor,North America,20th–21st centuries
Ingrid Bergman,Ingrid Bergman,actor,Europe and North America,20th century
Grace Kelly,Grace Kelly,actor and royal,North America and Europe,20th century
Judy Garland,Judy Garland,actor and singer,North America,20th century
Fred Astaire,Fred Astaire,actor and dancer,North America,20th century
Bruce Lee,Bruce Lee,actor and martial artist,East Asia and North America,20th century
Sean Connery,Sean Connery,actor,Europe,20th–21st centuries
Robin Williams,Robin Williams,actor and comedian,North America,20th–21st centuries
Heath Ledger,Heath Ledger,actor,Oceania and North America,20th–21st centuries
Carrie Fisher,Carrie Fisher,actor and writer,North America,20th–21st centuries
Alfred Hitchcock,Alfred Hitchcock,filmmaker,Europe and North America,20th century
Stanley Kubrick,Stanley Kubrick,filmmaker,North America and Europe,20th century
Akira Kurosawa,Akira Kurosawa,filmmaker,East Asia,20th century
Walt Disney,Walt Disney,filmmaker and entrepreneur,North America,20th century
Lucille Ball,Lucille Ball,actor and comedian,North America,20th century
Florence Nightingale,Florence Nightingale,nurse and reformer,Europe,19th century
Helen Keller,Helen Keller,writer and activist,North America,19th–20th centuries
Harriet Tubman,Harriet Tubman,abolitionist,North America,19th–20th centuries
Rosa Parks,Rosa Parks,civil rights activist,North America,20th–21st centuries
Martin Luther King Jr.,Martin Luther King Jr.,civil rights leader,North America,20th century
Malcolm X,Malcolm X,civil rights leader,North America,20th century
Emmeline Pankhurst,Emmeline Pankhurst,political activist,Europe,19th–20th centuries
Susan B. Anthony,Susan B. Anthony,political activist,North America,19th–20th centuries
Al Capone,Al Capone,crime figure,North America,20th century
Pablo Escobar,Pablo Escobar,crime figure,Latin America and Caribbean,20th century
Muhammad Ali,Muhammad Ali,athlete,North America,20th–21st centuries
Pelé,Pelé,athlete,Latin America and Caribbean,20th–21st centuries
Diego Maradona,Diego Maradona,athlete,Latin America and Caribbean,20th–21st centuries
Kobe Bryant,Kobe Bryant,athlete,North America,20th–21st centuries
Babe Ruth,Babe Ruth,athlete,North America,20th century
Jesse Owens,Jesse Owens,athlete,North America,20th century
Jackie Robinson,Jackie Robinson,athlete,North America,20th century
Ayrton Senna,Ayrton Senna,athlete,Latin America and Caribbean,20th century
